PERMNO,VOL,RET,Date,Month,Idiosyncratic Volatility
10000,1000,,1986-01-07,1986-01,
10000,12800,-0.02439,1986-01-08,1986-01,
10000,1400,0.0,1986-01-09,1986-01,
10000,8500,0.0,1986-01-10,1986-01,
10000,5450,0.05,1986-01-13,1986-01,
10000,2075,0.047619,1986-01-14,1986-01,
10000,22490,0.045455,1986-01-15,1986-01,
10000,10900,0.043478,1986-01-16,1986-01,
10000,8470,0.0,1986-01-17,1986-01,
10000,1000,0.0,1986-01-20,1986-01,
10000,1000,0.0,1986-01-21,1986-01,
10000,2700,0.0,1986-01-22,1986-01,
10000,24000,0.25,1986-01-23,1986-01,
10000,11372,0.116667,1986-01-24,1986-01,
10000,16570,0.059701,1986-01-27,1986-01,
10000,9600,0.0,1986-01-28,1986-01,
10000,24505,-0.028169,1986-01-29,1986-01,
10000,8600,0.028986,1986-01-30,1986-01,
10000,4650,-0.014085,1986-01-31,1986-01,
10000,3700,0.0,1986-02-03,1986-02,
10000,1500,0.0,1986-02-04,1986-02,
10000,500,0.0,1986-02-05,1986-02,
10000,2000,-0.042857,1986-02-06,1986-02,
10000,9300,0.044776,1986-02-07,1986-02,
10000,2000,-0.014286,1986-02-10,1986-02,
10000,5500,0.0,1986-02-11,1986-02,
10000,2500,-0.021739,1986-02-12,1986-02,
10000,500,0.0,1986-02-13,1986-02,
10000,800,0.014815,1986-02-14,1986-02,
10000,7300,-0.065693,1986-02-18,1986-02,
10000,14000,-0.015625,1986-02-19,1986-02,0.05651183387494336
10000,4000,-0.063492,1986-02-20,1986-02,0.05790502197474242
10000,3000,0.0,1986-02-21,1986-02,0.05790502197474242
10000,3300,-0.016949,1986-02-24,1986-02,0.05813379102262357
10000,500,-0.017241,1986-02-25,1986-02,0.05799215570764325
10000,7200,-0.087719,1986-02-26,1986-02,0.06031991948435318
10000,12300,0.0,1986-02-27,1986-02,0.05989527662086264
10000,2900,0.0,1986-02-28,1986-02,0.0594738221221412
10000,2200,0.0,1986-03-03,1986-03,0.0594738221221412
10000,10045,0.057692,1986-03-04,1986-03,0.060259652605863155
10000,10800,0.009091,1986-03-05,1986-03,0.060250467855492595
10000,13355,0.117117,1986-03-06,1986-03,0.06352270961026367
10000,27625,0.145161,1986-03-07,1986-03,0.05166131032430495
10000,7500,-0.056338,1986-03-10,1986-03,0.048544542581678195
10000,1400,0.029851,1986-03-11,1986-03,0.04759880410315552
10000,1400,0.0,1986-03-12,1986-03,0.04759880410315552
